,青岛站,人民会堂,汇泉广场,中山公园,太平角公园,延安三路,五四广场,江西路,宁夏路,敦化路,错埠岭,清江路,双山,长沙路,地铁大厦,海尔路,万年泉路,李村,君峰路,振华路,永平路,青岛北站
青岛站,/,8,3,2,6,12,22,14,10,7,15,5,3,5,2,3,8,16,3,5,1,10
人民会堂,1,/,0,0,4,3,5,3,2,1,9,9,0,4,1,5,1,10,0,0,3,0
汇泉广场,1,0,/,0,0,0,3,0,0,1,1,2,0,1,0,0,1,0,0,0,0,1
中山公园,1,0,0,/,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
太平角公园,0,0,0,0,/,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
延安三路,5,15,1,0,1,/,0,2,2,2,3,1,2,1,1,2,1,5,2,1,2,0
五四广场,15,11,2,0,2,0,/,1,0,1,4,3,1,0,0,0,0,7,1,1,1,3
江西路,37,43,5,2,2,5,3,/,0,1,6,5,1,1,0,5,2,8,2,0,0,6
宁夏路,16,23,3,0,2,7,4,1,/,0,5,3,2,0,1,3,2,5,1,3,1,5
敦化路,22,14,1,4,1,7,3,1,0,/,3,6,0,0,0,2,3,6,0,1,3,1
错埠岭,29,30,4,4,7,14,9,8,1,2,/,4,3,0,2,1,2,6,0,0,2,5
清江路,16,20,7,5,2,13,7,11,7,2,7,/,0,0,0,2,1,3,2,0,1,3
双山,28,13,5,7,2,19,13,6,7,5,11,1,/,1,1,0,0,9,0,1,5,6
长沙路,16,15,1,5,2,14,6,6,2,1,5,0,0,/,0,0,1,1,0,4,7,10
地铁大厦,12,6,0,0,7,10,4,10,4,0,3,0,2,0,/,0,1,2,2,2,2,4
海尔路,10,3,3,4,1,1,5,4,4,2,4,0,0,0,0,/,0,0,1,1,3,4
万年泉路,24,21,5,4,4,24,27,21,12,4,4,5,4,1,1,0,/,5,5,4,20,14
李村,37,19,10,7,5,24,34,23,18,19,17,12,5,2,3,2,3,/,0,0,1,21
君峰路,14,9,2,1,0,6,12,8,12,4,10,10,0,1,0,2,12,1,/,2,3,8
振华路,8,8,2,2,2,5,16,8,15,6,8,0,9,4,2,4,7,2,3,/,0,4
永平路,9,8,2,1,0,12,18,3,8,9,9,5,3,9,0,3,16,10,6,1,/,5
青岛北站,22,7,2,2,3,6,17,15,20,7,21,14,6,4,8,9,20,40,7,2,2,/
